trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,textGame.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
random,P,italic,I,italic,F,bold,O,bold,M,bold,S,bold,T,italic,W,italic,3.0,F,bold,F,italic,E,bold,E,italic,20,20,0,n,0.01346919999923557,None,0,20,20,138,32.59272119999878,,,,,,,,,32.579079200000706,32.59272119999878,33.578475099999196,33.57850300000064,33.59247449999748,33.59247449999748,33.61185509999996,n,0.01346919999923557,None,33.59247449999748,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,E,italic,T,bold,A,bold,Y,bold,O,bold,M,italic,P,italic,F,italic,2.0,T,bold,T,italic,I,bold,I,italic,21,21,0,n,0.2528065999977116,None,0,21,21,105,33.625993099998595,,,,,,,,,33.612028499999724,33.625993099998595,34.61139039999762,34.61141420000058,34.62577379999857,34.62577379999857,34.89502079999875,n,0.2528065999977116,None,34.62577379999857,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,S,bold,M,bold,A,italic,W,italic,U,bold,F,bold,T,bold,E,bold,5.0,U,bold,U,italic,Y,bold,Y,italic,22,22,0,n,0.24173700000028475,None,0,22,22,148,34.90896529999736,,,,,,,,,34.89518229999885,34.90896529999736,35.89464909999879,35.894674600000144,35.90892039999744,35.90892039999744,36.161548199997924,n,0.24173700000028475,None,35.90892039999744,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,A,bold,I,italic,T,italic,Y,italic,P,italic,W,italic,O,italic,S,bold,2.0,I,italic,I,bold,E,italic,E,bold,23,23,0,n,0.2790093000003253,None,0,23,23,97,36.17567159999817,,,,,,,,,36.16170889999921,36.17567159999817,37.16116179999881,37.16118769999957,37.17563850000079,37.17563850000079,37.461375200000475,n,0.2790093000003253,None,37.17563850000079,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,M,italic,Y,italic,T,italic,O,italic,A,italic,S,italic,U,italic,P,italic,5.0,A,italic,A,bold,I,italic,I,bold,24,24,0,n,0.22529990000111866,None,0,24,24,60,37.475650000000314,,,,,,,,,37.46154319999914,37.475650000000314,38.461100599997735,38.4611253999974,38.47536729999774,38.47536729999774,38.711382699999376,n,0.22529990000111866,None,38.47536729999774,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,I,italic,F,bold,W,bold,E,bold,T,italic,O,bold,A,italic,S,bold,1.0,I,italic,I,bold,U,italic,U,bold,25,25,0,n,0.23960839999926975,None,0,25,25,40,38.72532859999774,,,,,,,,,38.711551500000496,38.72532859999774,39.71100739999747,39.71103129999756,39.72509910000008,39.72509910000008,39.97793969999839,n,0.23960839999926975,None,39.72509910000008,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,A,bold,S,italic,I,italic,F,italic,W,italic,E,italic,T,italic,O,italic,4.0,F,italic,F,bold,U,italic,U,bold,26,26,0,n,0.29375419999996666,None,0,26,26,75,39.991857199998776,,,,,,,,,39.97811609999917,39.991857199998776,40.9774479000007,40.97748309999952,40.99187510000047,40.99187510000047,41.29445660000056,n,0.29375419999996666,None,40.99187510000047,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,A,italic,S,italic,T,bold,O,italic,M,italic,Y,italic,W,bold,E,bold,6.0,Y,italic,Y,bold,I,italic,I,bold,27,27,0,n,0.29078450000088196,None,0,27,27,77,41.308405499999935,,,,,,,,,41.29463620000024,41.308405499999935,42.294061099997634,42.29408609999882,42.3083106999984,42.3083106999984,42.61106259999724,n,0.29078450000088196,None,42.3083106999984,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,I,italic,F,italic,M,italic,Y,italic,T,italic,O,italic,U,bold,P,bold,2.0,F,italic,F,bold,T,italic,T,bold,28,28,0,n,2.086646900002961,None,0,28,28,25,42.6247884000004,,,,,,,,,42.61122539999997,42.6247884000004,43.61043889999928,43.61046399999759,43.624707599999965,43.624707599999965,45.72733700000026,n,2.086646900002961,None,43.624707599999965,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,T,italic,P,bold,S,italic,F,italic,A,italic,E,italic,I,bold,M,bold,2.0,P,bold,P,italic,T,bold,T,italic,29,29,0,n,0.32416919999741367,None,0,29,29,129,45.74112790000072,,,,,,,,,45.72751140000037,45.74112790000072,46.7267643999985,46.726789699998335,46.741027199997916,46.741027199997916,47.07701199999792,n,0.32416919999741367,None,46.741027199997916,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,S,italic,Y,bold,T,bold,U,italic,E,bold,O,italic,M,bold,I,bold,3.0,T,bold,T,italic,F,bold,F,italic,30,30,0,n,0.2917959000005794,None,0,30,30,122,47.09086199999729,,,,,,,,,47.07718139999997,47.09086199999729,48.076520899998286,48.076546000000235,48.09079469999779,48.09079469999779,48.39347599999746,n,0.2917959000005794,None,48.09079469999779,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,A,bold,S,bold,T,italic,O,italic,I,italic,F,bold,M,bold,Y,italic,5.0,I,italic,I,bold,U,italic,U,bold,31,31,0,n,0.32869059999939054,None,0,31,31,76,48.40759889999754,,,,,,,,,48.39364589999968,48.40759889999754,49.393103899998096,49.39312929999869,49.40739889999895,49.40739889999895,49.74348579999787,n,0.32869059999939054,None,49.40739889999895,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,O,italic,P,italic,E,italic,T,bold,W,bold,U,italic,M,bold,A,bold,5.0,W,bold,W,italic,I,bold,I,italic,32,32,0,n,0.1918206000009377,None,0,32,32,116,49.75736329999927,,,,,,,,,49.74364719999721,49.75736329999927,50.74399359999734,50.74401790000047,50.75788259999899,50.75788259999899,50.9599195999981,n,0.1918206000009377,None,50.75788259999899,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,W,italic,M,bold,A,bold,E,bold,Y,bold,P,italic,T,bold,I,italic,1.0,W,italic,W,bold,S,italic,S,bold,33,33,0,n,0.49072720000185654,None,0,33,33,152,50.97383009999976,,,,,,,,,50.960086999999476,50.97383009999976,51.959664399997564,51.95969419999892,51.97372560000076,51.97372560000076,52.47763979999945,n,0.49072720000185654,None,51.97372560000076,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,P,italic,S,italic,T,bold,E,bold,U,bold,F,bold,I,bold,Y,bold,7.0,I,bold,I,italic,M,bold,M,italic,34,34,0,n,0.21503329999904963,None,0,34,34,86,52.49029309999969,,,,,,,,,52.47781309999846,52.49029309999969,53.4760552000007,53.4760826999991,53.49023949999901,53.49023949999901,53.70952919999763,n,0.21503329999904963,None,53.49023949999901,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,T,bold,W,italic,S,italic,I,italic,P,italic,E,bold,U,bold,Y,bold,3.0,S,italic,S,bold,O,italic,O,bold,35,35,0,n,0.2732544999998936,None,0,35,35,90,53.723494999998366,,,,,,,,,53.70969519999926,53.723494999998366,54.70922900000005,54.70925419999912,54.72341709999819,54.72341709999819,55.0095427999986,n,0.2732544999998936,None,54.72341709999819,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,F,italic,A,italic,W,italic,T,bold,S,italic,E,bold,M,bold,O,italic,8.0,O,italic,O,bold,P,italic,P,bold,36,36,0,n,0.26619990000108373,None,0,36,36,119,55.023275999999896,,,,,,,,,55.009710899998026,55.023275999999896,56.00913170000058,56.009155899999314,56.023231600000145,56.023231600000145,56.29248969999753,n,0.26619990000108373,None,56.023231600000145,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,U,bold,W,italic,E,italic,I,italic,F,bold,Y,bold,S,italic,M,bold,5.0,F,bold,F,italic,T,bold,T,italic,37,37,0,n,0.6461861999996472,None,0,37,37,84,56.30661989999862,,,,,,,,,56.29265189999933,56.30661989999862,57.2920723999996,57.292096900000615,57.306504599997425,57.306504599997425,57.95903460000045,n,0.6461861999996472,None,57.306504599997425,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,P,bold,A,italic,I,bold,T,bold,U,bold,E,italic,M,bold,F,bold,7.0,M,bold,M,italic,W,bold,W,italic,38,38,0,,,,0,38,38,150,57.97301769999831,,,,,,,,,57.95920009999827,57.97301769999831,58.958640699998796,58.95867129999897,58.97300909999831,58.97300909999831,,,,,58.97300909999831,,,,,,,,
